Student_ID,Previous_Day_Meals,Calories_Consumed,Protein (g),Carbs (g),Fats (g)
1,"Chicken Wrap, Cheese Pizza, Rice Bowl, Veggie Burger",1666,114,187,82
2,"Veggie Burger, Grilled Chicken, Garden Salad, Chicken Wrap",2415,99,120,62
3,"Cheese Pizza, Chicken Wrap, Grilled Chicken",1710,81,287,45
4,"Veggie Burger, Cheese Pizza, Fish Tacos, Pasta Salad",2031,42,150,36
5,"Fish Tacos, Grilled Chicken",1976,92,229,49
6,"Cheese Pizza, Veggie Burger, Grilled Chicken, Rice Bowl",1405,75,149,69
7,"Grilled Chicken, Veggie Burger, Fish Tacos",1902,57,143,63
8,"Fish Tacos, Grilled Chicken, Cheese Pizza",1919,92,123,55
9,"Cheese Pizza, Grilled Chicken",1264,110,108,53
10,"Cheese Pizza, Chicken Wrap",1488,44,140,57
11,"Rice Bowl, Fish Tacos, Grilled Chicken, Garden Salad",2797,76,198,73
12,"Pasta Salad, Cheese Pizza, Fish Tacos",1842,40,104,55
13,"Fish Tacos, Cheese Pizza, Pasta Salad, Chicken Wrap",2777,116,278,61
14,"Rice Bowl, Grilled Chicken, Chicken Wrap, Cheese Pizza",1430,54,270,58
15,"Veggie Burger, Fish Tacos",1756,101,284,82
16,"Veggie Burger, Grilled Chicken, Cheese Pizza",2554,101,228,86
17,"Cheese Pizza, Chicken Wrap, Grilled Chicken, Garden Salad",1909,111,254,38
18,"Chicken Wrap, Garden Salad, Rice Bowl",2597,71,195,53
19,"Grilled Chicken, Fish Tacos",2609,42,212,66
20,"Fish Tacos, Rice Bowl",2789,40,246,31
21,"Veggie Burger, Garden Salad",1322,56,137,53
22,"Garden Salad, Chicken Wrap",2347,98,169,45
23,"Veggie Burger, Cheese Pizza",2734,58,247,61
24,"Fish Tacos, Grilled Chicken, Rice Bowl, Chicken Wrap",1672,89,250,60
25,"Garden Salad, Fish Tacos, Veggie Burger",2795,41,228,77
26,"Cheese Pizza, Chicken Wrap, Veggie Burger",2322,58,147,45
27,"Fish Tacos, Cheese Pizza, Garden Salad, Grilled Chicken",2643,77,203,49
28,"Fish Tacos, Cheese Pizza, Pasta Salad",2077,105,153,64
29,"Grilled Chicken, Fish Tacos",2015,59,227,37
30,"Rice Bowl, Cheese Pizza, Fish Tacos, Chicken Wrap",2598,61,257,67
31,"Pasta Salad, Veggie Burger, Cheese Pizza",1997,67,210,62
32,"Garden Salad, Cheese Pizza",1216,83,257,58
33,"Garden Salad, Cheese Pizza, Chicken Wrap",2572,85,280,60
34,"Cheese Pizza, Rice Bowl, Grilled Chicken, Garden Salad",2479,106,227,47
35,"Veggie Burger, Pasta Salad",1825,71,274,51
36,"Rice Bowl, Veggie Burger, Pasta Salad, Fish Tacos",2327,72,236,72
37,"Pasta Salad, Veggie Burger, Rice Bowl",2120,63,112,89
38,"Grilled Chicken, Cheese Pizza, Chicken Wrap",1711,55,241,41
39,"Rice Bowl, Veggie Burger, Grilled Chicken, Fish Tacos",2053,90,252,87
40,"Grilled Chicken, Veggie Burger, Pasta Salad, Garden Salad",1881,109,114,83
41,"Cheese Pizza, Grilled Chicken, Rice Bowl, Chicken Wrap",2419,45,208,61
42,"Veggie Burger, Chicken Wrap, Rice Bowl",1856,102,118,57
43,"Grilled Chicken, Pasta Salad, Rice Bowl",2350,48,239,82
44,"Rice Bowl, Grilled Chicken",1759,40,115,68
45,"Veggie Burger, Garden Salad, Cheese Pizza, Pasta Salad",2658,96,128,43
46,"Fish Tacos, Grilled Chicken",1631,78,199,62
47,"Grilled Chicken, Pasta Salad, Veggie Burger",2001,91,237,87
48,"Garden Salad, Chicken Wrap, Grilled Chicken, Pasta Salad",1696,71,183,53
49,"Cheese Pizza, Garden Salad, Chicken Wrap",2491,106,164,62
